,ID,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,response,response_action,prime,target,condition,soa_condition,congruence,correct_response,correctResponse,correct
40,2215,target,canvas.Screen,12_0_0_0_4,response,865.7909999970198,11908.10000000894,11904.343,11921.009,12786.79999999702,12794.20000000298,2023-09-14T12:27:32.766Z,12804.307,response_manmade,m,paint,PAINT,Con_Synth,short,congruent,m,m,True
46,2215,target,canvas.Screen,12_0_0_1_4,response,642.5509999999995,13406.20000000298,13404.283,13420.949,14063.5,14070.79999999702,2023-09-14T12:27:34.043Z,14087.589,response_natural,n,berry,OTTER,Inc_Nat_Nat,short,incongruent,n,n,True
52,2215,target,canvas.Screen,12_0_0_2_4,response,842.7020000029806,14690.20000000298,14687.832,14704.498,15547.20000000298,15551.29999999702,2023-09-14T12:27:35.523Z,15554.464,response_manmade,m,lime,GULLY,Inc_Nat_Nat,short,incongruent,n,n,False
58,2215,target,canvas.Screen,12_0_0_3_4,response,710.9940000089409,16150.60000000894,16150.0,16171.106,16882.10000000894,16886.70000000298,2023-09-14T12:27:36.859Z,16904.41,response_natural,n,fern,PETAL,Inc_Nat_Nat,short,incongruent,n,n,True
64,2215,target,canvas.Screen,12_0_0_4_4,response,598.581999997019,17522.40000000596,17521.052,17537.718,18136.29999999702,18143.70000000298,2023-09-14T12:27:38.115Z,18154.36,response_natural,n,tiger,TIGER,Con_Nat,short,congruent,n,n,True
70,2215,target,canvas.Screen,12_0_0_5_4,response,903.2979999970194,18745.40000000596,18745.10000000894,18771.002,19674.29999999702,19682.10000000894,2023-09-14T12:27:39.654Z,19687.632,response_natural,n,finch,SLOTH,Inc_Nat_Nat,short,incongruent,m,m,False
76,2215,target,canvas.Screen,12_0_0_6_4,response,614.0259999970185,20292.0,20287.608,20304.274,20918.29999999702,20925.29999999702,2023-09-14T12:27:40.897Z,20937.582,response_natural,n,frog,FROG,Con_Nat,short,congruent,n,n,True
82,2215,target,canvas.Screen,12_0_0_7_4,response,756.6760000059621,21539.79999999702,21537.558,21554.224,22310.90000000596,22318.40000000596,2023-09-14T12:27:42.290Z,22320.86,response_manmade,m,peach,SHED,Inc_Nat_Synth,short,incongruent,m,m,True
88,2215,target,canvas.Screen,12_0_0_8_4,response,712.5980000089403,22931.20000000298,22930.70000000298,22937.502,23650.10000000894,23657.10000000894,2023-09-14T12:27:43.629Z,23670.806,response_manmade,m,bike,BIKE,Con_Synth,short,congruent,m,m,True
94,2215,target,canvas.Screen,12_0_0_9_4,response,633.6239999999998,24290.40000000596,24287.71,24304.376,24938.0,24945.20000000298,2023-09-14T12:27:44.917Z,24954.35,response_natural,n,rail,SQUID,Inc_Synth_Nat,short,incongruent,n,n,True
100,2215,target,canvas.Screen,12_0_0_10_4,response,548.5740000059595,25549.0,25548.60000000894,25554.326,26102.90000000596,26108.10000000894,2023-09-14T12:27:46.080Z,26120.97,response_natural,n,melon,HOSE,Inc_Nat_Synth,short,incongruent,m,m,False
106,2215,target,canvas.Screen,12_0_0_11_4,response,629.5880000029792,26716.70000000298,26716.20000000298,26737.612,27367.20000000298,27374.10000000894,2023-09-14T12:27:47.346Z,27387.586,response_natural,n,ruler,PANSY,Inc_Synth_Nat,short,incongruent,n,n,True
112,2215,target,canvas.Screen,12_0_0_12_4,response,720.1380000029785,27985.29999999702,27985.0,27987.562,28707.70000000298,28714.70000000298,2023-09-14T12:27:48.686Z,28720.866,response_manmade,m,kiosk,SOFA,Inc_Synth_Synth,short,incongruent,m,m,True
118,2215,target,canvas.Screen,12_0_0_13_4,response,649.6259999970207,29340.29999999702,29337.508,29354.174,30003.79999999702,30011.10000000894,2023-09-14T12:27:49.983Z,30020.814,response_manmade,m,coat,COAT,Con_Synth,short,congruent,m,m,True
124,2215,target,canvas.Screen,12_0_0_14_4,response,813.9100000029794,30612.90000000596,30612.5,30620.79,31434.70000000298,31442.29999999702,2023-09-14T12:27:51.414Z,31454.09,response_manmade,m,wharf,RAZOR,Inc_Synth_Synth,short,incongruent,m,m,True
130,2215,target,canvas.Screen,12_0_0_15_4,response,571.9680000029803,32057.5,32054.066,32070.732,32642.70000000298,32650.10000000894,2023-09-14T12:27:52.622Z,32654.042,response_natural,n,harp,SNAIL,Inc_Synth_Nat,short,incongruent,n,n,True
136,2215,target,canvas.Screen,12_0_0_16_4,response,808.9820000000036,33244.90000000596,33244.60000000894,33254.018,34063.0,34070.29999999702,2023-09-14T12:27:54.042Z,34087.318,response_manmade,m,ladle,CAFÉ,Inc_Synth_Synth,short,incongruent,m,m,True
142,2215,target,canvas.Screen,12_0_0_17_4,response,586.3700000089375,34691.20000000298,34687.564,34704.23,35290.60000000894,35298.10000000894,2023-09-14T12:27:55.270Z,35304.206,response_natural,n,cable,CABLE,Con_Synth,short,congruent,m,m,False
148,2215,target,canvas.Screen,12_0_0_18_4,response,826.5520000059623,35912.10000000894,35911.79999999702,35920.848,36747.40000000596,36754.5,2023-09-14T12:27:56.726Z,36770.814,response_natural,n,cave,CAVE,Con_Nat,short,congruent,n,n,True
154,2215,target,canvas.Screen,12_0_0_19_4,response,925.1779999970167,37392.5,37387.456,37404.122,38329.29999999702,38333.60000000894,2023-09-14T12:27:58.305Z,38337.418,response_natural,n,arena,VINE,Inc_Synth_Nat,short,incongruent,n,n,True
160,2215,target,canvas.Screen,12_0_0_20_4,response,779.1400000029826,38947.0,38946.70000000298,38954.06,39733.20000000298,39738.5,2023-09-14T12:27:59.710Z,39754.028,response_manmade,m,water,MEDAL,Inc_Nat_Synth,short,incongruent,m,m,True
166,2215,target,canvas.Screen,12_0_0_21_4,response,846.7300000059622,40344.90000000596,40344.5,40370.67,41217.40000000596,41224.5,2023-09-14T12:28:01.196Z,41237.302,response_natural,n,sewer,CORAL,Inc_Synth_Nat,short,incongruent,n,n,True
172,2215,target,canvas.Screen,12_0_0_22_4,response,930.0219999970213,41828.5,41828.0,41837.278,42767.29999999702,42774.79999999702,2023-09-14T12:28:02.746Z,42787.24,response_manmade,m,toast,TOAST,Con_Synth,short,congruent,m,m,True
178,2215,target,canvas.Screen,12_0_0_23_4,response,807.5520000089382,43407.40000000596,43403.882,43420.548,44228.10000000894,44235.10000000894,2023-09-14T12:28:04.207Z,44237.182,response_manmade,m,cobra,TWIG,Inc_Nat_Nat,short,incongruent,n,n,False
184,2215,target,canvas.Screen,12_0_0_24_4,response,628.0100000089442,44841.10000000894,44837.424,44854.09,45482.10000000894,45488.90000000596,2023-09-14T12:28:05.460Z,45504.064,response_natural,n,grass,GRASS,Con_Nat,short,congruent,n,n,True
190,2215,target,canvas.Screen,12_0_0_25_4,response,743.8280000029772,46124.40000000596,46120.706,46137.372,46881.20000000298,46888.40000000596,2023-09-14T12:28:06.860Z,46904.008,response_natural,n,creek,CREEK,Con_Nat,short,congruent,n,n,True
196,2215,target,canvas.Screen,12_0_0_26_4,response,876.116000008944,47502.70000000298,47502.29999999702,47503.984,48380.10000000894,48387.40000000596,2023-09-14T12:28:08.359Z,48403.948,response_manmade,m,toad,GLOVE,Inc_Nat_Synth,short,incongruent,m,m,True
202,2215,target,canvas.Screen,12_0_0_27_4,response,945.5439999970185,49005.20000000298,49003.924,49037.256,49982.79999999702,49989.90000000596,2023-09-14T12:28:09.961Z,50003.884,response_natural,n,whale,WHALE,Con_Nat,short,congruent,n,n,True
208,2215,target,canvas.Screen,12_0_0_28_4,response,627.474000000002,50605.40000000596,50603.86,50620.526,51248.0,51255.10000000894,2023-09-14T12:28:11.227Z,51270.5,response_manmade,m,sash,CLOTH,Inc_Synth_Synth,short,incongruent,m,m,True
214,2215,target,canvas.Screen,12_0_0_29_4,response,729.0580000029804,51862.40000000596,51861.90000000596,51887.142,52616.20000000298,52623.29999999702,2023-09-14T12:28:12.595Z,52637.112,response_manmade,m,tank,TANK,Con_Synth,short,congruent,m,m,True
220,2215,target,canvas.Screen,12_0_0_30_4,response,702.2459999999992,53239.10000000894,53237.088,53253.754,53956.0,53963.60000000894,2023-09-14T12:28:13.935Z,53970.392,response_natural,n,gate,GATE,Con_Synth,short,congruent,m,m,False
226,2215,target,canvas.Screen,12_0_0_31_4,response,801.566000008941,54564.79999999702,54564.40000000596,54587.034,55388.60000000894,55394.20000000298,2023-09-14T12:28:15.366Z,55403.93,response_manmade,m,poppy,DINGO,Inc_Nat_Nat,short,incongruent,n,n,False
232,2215,target,canvas.Screen,12_0_0_32_4,response,614.8939999970171,56001.90000000596,56001.5,56003.906,56618.79999999702,56626.0,2023-09-14T12:28:16.597Z,56637.214,response_natural,n,bread,BREAD,Con_Synth,short,congruent,m,m,False
238,2215,target,canvas.Screen,12_0_0_33_4,response,856.94399999702,57240.5,57237.19,57253.856,58110.79999999702,58118.0,2023-09-14T12:28:18.089Z,58120.488,response_manmade,m,patio,SPOON,Inc_Synth_Synth,short,incongruent,m,m,True
244,2215,target,canvas.Screen,12_0_0_34_4,response,631.5360000000001,58714.29999999702,58713.79999999702,58720.464,59352.0,59359.20000000298,2023-09-14T12:28:19.331Z,59370.438,response_natural,n,deer,DEER,Con_Nat,short,congruent,n,n,True
250,2215,target,canvas.Screen,12_0_0_35_4,response,803.3200000059587,59973.90000000596,59970.414,59987.08,60790.40000000596,60797.20000000298,2023-09-14T12:28:20.769Z,60803.714,response_natural,n,puppy,PUPPY,Con_Nat,short,congruent,n,n,True
256,2215,target,canvas.Screen,12_0_0_36_4,response,897.0780000089435,61422.60000000894,61420.356,61437.022,62334.10000000894,62338.0,2023-09-14T12:28:22.309Z,62353.652,response_manmade,m,camel,BENCH,Inc_Nat_Synth,short,incongruent,m,m,True
262,2215,target,canvas.Screen,12_0_0_37_4,response,700.7400000029811,62973.70000000298,62970.294,62986.96,63687.70000000298,63695.0,2023-09-14T12:28:23.666Z,63703.598,response_manmade,m,goose,GOOSE,Con_Nat,short,congruent,n,n,False
268,2215,target,canvas.Screen,12_0_0_38_4,response,1301.2259999970192,64297.0,64296.60000000894,64303.574,65604.79999999702,65612.20000000298,2023-09-14T12:28:25.583Z,65636.854,response_manmade,m,rope,ROPE,Con_Synth,short,congruent,m,m,True
274,2215,target,canvas.Screen,12_0_0_39_4,response,734.9160000029806,66238.60000000894,66237.118,66253.784,66988.70000000298,66995.90000000596,2023-09-14T12:28:26.967Z,67003.754,response_manmade,m,corn,CORN,Con_Nat,short,congruent,n,n,False
280,2215,target,canvas.Screen,12_0_0_40_4,response,1333.1040000000066,67608.90000000596,67603.73,67620.396,68953.5,68960.5,2023-09-14T12:28:28.932Z,68987.008,response_manmade,m,crow,YACHT,Inc_Nat_Synth,short,incongruent,m,m,True
286,2215,target,canvas.Screen,12_0_0_41_4,response,771.9500000089465,69579.40000000596,69579.10000000894,69603.65,70375.60000000894,70382.60000000894,2023-09-14T12:28:30.354Z,70386.952,response_natural,n,rake,HUSKY,Inc_Synth_Nat,short,incongruent,n,n,True
292,2215,target,canvas.Screen,12_0_0_42_4,response,691.7059999970224,70990.40000000596,70986.928,71003.594,71695.29999999702,71702.79999999702,2023-09-14T12:28:31.674Z,71720.232,response_manmade,m,mice,TOOLS,Inc_Nat_Synth,short,incongruent,m,m,True
298,2215,target,canvas.Screen,12_0_0_43_4,response,604.2260000089445,72323.79999999702,72320.208,72336.874,72941.10000000894,72948.29999999702,2023-09-14T12:28:32.919Z,72953.516,response_natural,n,leaf,COIN,Inc_Nat_Synth,short,incongruent,m,m,False
304,2215,target,canvas.Screen,12_0_0_44_4,response,770.7420000059647,73554.5,73554.10000000894,73570.158,74340.90000000596,74348.20000000298,2023-09-14T12:28:34.319Z,74353.46,response_manmade,m,silo,PLAZA,Inc_Synth_Synth,short,incongruent,m,m,True
310,2215,target,canvas.Screen,12_0_0_45_4,response,674.1320000059641,74961.70000000298,74960.90000000596,74986.768,75660.90000000596,75668.5,2023-09-14T12:28:35.640Z,75670.074,response_manmade,m,drug,DRUG,Con_Synth,short,congruent,m,m,True
316,2215,target,canvas.Screen,12_0_0_46_4,response,860.2210000029736,76279.90000000596,76279.5,76286.979,77147.20000000298,77154.70000000298,2023-09-14T12:28:37.126Z,77170.277,response_natural,n,spear,MOTH,Inc_Synth_Nat,short,incongruent,n,n,True
322,2215,target,canvas.Screen,12_0_0_47_4,response,554.4149999999936,77790.10000000894,77786.919,77803.585,78358.0,78365.0,2023-09-14T12:28:38.336Z,78370.229,response_natural,n,spade,SHELF,Inc_Synth_Synth,short,incongruent,m,m,False
328,2215,target,canvas.Screen,12_0_0_48_4,response,714.4950000029785,78963.10000000894,78962.60000000894,78970.205,79684.70000000298,79691.90000000596,2023-09-14T12:28:39.663Z,79703.509,response_natural,n,seed,SEED,Con_Nat,short,congruent,n,n,True
334,2215,target,canvas.Screen,12_0_0_49_4,response,572.849000000002,80307.90000000596,80303.485,80320.151,80893.0,80900.20000000298,2023-09-14T12:28:40.871Z,80903.461,response_manmade,m,hawk,HAWK,Con_Nat,short,congruent,n,n,False
340,2215,target,canvas.Screen,12_0_0_50_4,response,1192.1630000089353,81495.70000000298,81495.20000000298,81503.437,82695.60000000894,82699.20000000298,2023-09-14T12:28:42.670Z,82703.389,response_natural,n,torch,CHIMP,Inc_Synth_Nat,short,incongruent,n,n,True
346,2215,target,canvas.Screen,12_0_0_51_4,response,674.9689999999973,83305.29999999702,83303.365,83320.031,83995.0,84001.70000000298,2023-09-14T12:28:43.973Z,84003.337,response_natural,n,soil,SOIL,Con_Nat,short,congruent,n,n,True
352,2215,target,canvas.Screen,12_0_0_52_4,response,612.5209999999934,84605.20000000298,84604.79999999702,84619.979,85232.5,85239.40000000596,2023-09-14T12:28:45.210Z,85253.287,response_natural,n,worm,WORM,Con_Nat,short,congruent,n,n,True
358,2215,target,canvas.Screen,12_0_0_53_4,response,1778.509000002974,85856.20000000298,85853.525,85870.191,87648.70000000298,87656.20000000298,2023-09-14T12:28:47.627Z,87670.119,response_manmade,m,belt,BELT,Con_Synth,short,congruent,m,m,True
364,2215,target,canvas.Screen,12_0_0_54_4,response,875.7390000000014,88274.29999999702,88270.095,88286.761,89162.5,89169.79999999702,2023-09-14T12:28:49.141Z,89186.725,response_manmade,m,mail,MAIL,Con_Synth,short,congruent,m,m,True
370,2215,target,canvas.Screen,12_0_0_55_4,response,736.0330000059621,89781.20000000298,89780.79999999702,89803.367,90539.40000000596,90546.60000000894,2023-09-14T12:28:50.517Z,90553.337,response_natural,n,grape,LLAMA,Inc_Nat_Nat,short,incongruent,n,n,True
376,2215,target,canvas.Screen,12_0_0_56_4,response,638.7550000059564,91170.29999999702,91169.90000000596,91186.645,91825.40000000596,91832.79999999702,2023-09-14T12:28:51.804Z,91853.285,response_manmade,m,tower,TOWER,Con_Synth,short,congruent,m,m,True
382,2215,target,canvas.Screen,12_0_0_57_4,response,527.7069999970263,92471.90000000596,92469.927,92486.593,93014.29999999702,93021.5,2023-09-14T12:28:52.992Z,93036.571,response_natural,n,daisy,DAISY,Con_Nat,short,congruent,n,n,True
388,2215,target,canvas.Screen,12_0_0_58_4,response,650.8530000059545,93629.0,93628.70000000298,93636.547,94287.40000000596,94294.60000000894,2023-09-14T12:28:54.265Z,94303.187,response_manmade,m,doll,DOLL,Con_Synth,short,congruent,m,m,True
394,2215,target,canvas.Screen,12_0_0_59_4,response,762.2710000089428,94895.10000000894,94894.70000000298,94919.829,95682.10000000894,95688.70000000298,2023-09-14T12:28:55.660Z,95703.131,response_manmade,m,sword,SWORD,Con_Synth,short,congruent,m,m,True
404,2215,target,canvas.Screen,12_1_0_0_5,response,638.1789999970206,114041.60000000894,114036.455,114053.121,114691.29999999702,114698.10000000894,2023-09-14T12:29:14.669Z,114703.095,response_natural,n,hare,HARE,Con_Nat,long,congruent,n,n,True
411,2215,target,canvas.Screen,12_1_0_1_5,response,703.2329999970243,115391.40000000596,115386.401,115403.067,116106.29999999702,116113.40000000596,2023-09-14T12:29:16.084Z,116119.705,response_manmade,m,eagle,WAGON,Inc_Nat_Synth,long,incongruent,m,m,True
418,2215,target,canvas.Screen,12_1_0_2_5,response,731.6570000000065,116823.29999999702,116819.677,116836.343,117568.0,117575.20000000298,2023-09-14T12:29:17.546Z,117586.313,response_manmade,m,linen,LINEN,Con_Synth,long,congruent,m,m,True
425,2215,target,canvas.Screen,12_1_0_3_5,response,620.7810000059544,118255.60000000894,118252.953,118269.619,118890.40000000596,118897.60000000894,2023-09-14T12:29:18.868Z,118902.927,response_natural,n,stick,STICK,Con_Nat,long,congruent,n,n,True
432,2215,target,canvas.Screen,12_1_0_4_5,response,697.4349999999977,119604.0,119602.899,119619.565,120317.0,120324.20000000298,2023-09-14T12:29:20.295Z,120336.203,response_natural,n,roof,PIANO,Inc_Synth_Synth,long,incongruent,m,m,False
439,2215,target,canvas.Screen,12_1_0_5_5,response,535.9589999970194,121038.0,121036.175,121052.841,121588.79999999702,121596.10000000894,2023-09-14T12:29:21.567Z,121602.819,response_natural,n,bowl,WOLF,Inc_Synth_Nat,long,incongruent,n,n,True
446,2215,target,canvas.Screen,12_1_0_6_5,response,573.4430000059656,122308.0,122302.791,122319.457,122892.90000000596,122900.29999999702,2023-09-14T12:29:22.871Z,122919.433,response_natural,n,lemon,DUCK,Inc_Nat_Nat,long,incongruent,m,m,False
453,2215,target,canvas.Screen,12_1_0_7_5,response,699.1329999970185,123605.70000000298,123603.001,123619.667,124318.79999999702,124325.5,2023-09-14T12:29:24.296Z,124336.305,response_natural,n,wasp,WASP,Con_Nat,long,congruent,n,n,True
460,2215,target,canvas.Screen,12_1_0_8_5,response,855.0229999970179,125024.60000000894,125019.611,125036.277,125891.29999999702,125898.29999999702,2023-09-14T12:29:25.869Z,125902.909,response_manmade,m,ferry,FERRY,Con_Synth,long,congruent,m,m,True
467,2215,target,canvas.Screen,12_1_0_9_5,response,844.5849999970233,126571.40000000596,126569.549,126586.215,127430.79999999702,127438.40000000596,2023-09-14T12:29:27.409Z,127452.847,response_manmade,m,cloud,MOTEL,Inc_Nat_Synth,long,incongruent,m,m,True
474,2215,target,canvas.Screen,12_1_0_10_5,response,1423.5470000029745,128123.29999999702,128119.487,128136.153,129559.70000000298,129566.90000000596,2023-09-14T12:29:29.537Z,129586.095,response_manmade,m,cake,TRASH,Inc_Synth_Synth,long,incongruent,m,m,True
481,2215,target,canvas.Screen,12_1_0_11_5,response,600.1990000089427,130256.10000000894,130252.735,130269.401,130869.60000000894,130877.10000000894,2023-09-14T12:29:30.848Z,130886.043,response_natural,n,plum,PLUM,Con_Nat,long,congruent,n,n,True
488,2215,target,canvas.Screen,12_1_0_12_5,response,914.4170000089507,131538.29999999702,131536.017,131552.683,132467.10000000894,132474.70000000298,2023-09-14T12:29:32.445Z,132485.979,response_manmade,m,swamp,DRILL,Inc_Nat_Synth,long,incongruent,m,m,True
495,2215,target,canvas.Screen,12_1_0_13_5,response,808.3489999970188,133174.5,133169.285,133185.951,133994.29999999702,134000.79999999702,2023-09-14T12:29:33.971Z,134002.585,response_manmade,m,olive,MOTOR,Inc_Nat_Synth,long,incongruent,m,m,True
502,2215,target,canvas.Screen,12_1_0_14_5,response,988.0970000089437,134656.0,134652.837,134669.503,135657.60000000894,135665.40000000596,2023-09-14T12:29:35.636Z,135669.463,response_natural,n,crab,CRAB,Con_Nat,long,congruent,n,n,True
509,2215,target,canvas.Screen,12_1_0_15_5,response,687.0650000000023,136355.20000000298,136352.769,136369.435,137056.5,137063.5,2023-09-14T12:29:37.034Z,137069.407,response_natural,n,fort,GOAT,Inc_Synth_Nat,long,incongruent,n,n,True
516,2215,target,canvas.Screen,12_1_0_16_5,response,619.4870000029914,137740.90000000596,137736.047,137752.713,138372.20000000298,138379.20000000298,2023-09-14T12:29:38.350Z,138386.021,response_manmade,m,broom,BROOM,Con_Synth,long,congruent,m,m,True
523,2215,target,canvas.Screen,12_1_0_17_5,response,648.0730000059702,139055.70000000298,139052.661,139069.327,139717.40000000596,139724.79999999702,2023-09-14T12:29:39.695Z,139735.967,response_manmade,m,canon,CANON,Con_Synth,long,congruent,m,m,True
530,2215,target,canvas.Screen,12_1_0_18_5,response,667.4270000029937,140406.0,140402.607,140419.273,141086.70000000298,141094.10000000894,2023-09-14T12:29:41.064Z,141102.579,response_natural,n,reef,REEF,Con_Nat,long,congruent,n,n,True
537,2215,target,canvas.Screen,12_1_0_19_5,response,586.6149999999907,141771.0,141769.219,141785.885,142372.5,142380.0,2023-09-14T12:29:42.350Z,142385.861,response_natural,n,fruit,BEAR,Inc_Nat_Nat,long,incongruent,m,m,False
544,2215,target,canvas.Screen,12_1_0_20_5,response,550.60100000893,143090.0,143085.833,143102.499,143653.10000000894,143660.5,2023-09-14T12:29:43.631Z,143669.143,response_natural,n,sink,LAMB,Inc_Synth_Nat,long,incongruent,n,n,True
551,2215,target,canvas.Screen,12_1_0_21_5,response,639.6880000059609,144338.79999999702,144336.046,144352.712,144992.40000000596,144999.70000000298,2023-09-14T12:29:44.970Z,145002.686,response_manmade,m,stair,STAIR,Con_Synth,long,congruent,m,m,True
558,2215,target,canvas.Screen,12_1_0_22_5,response,580.2420000059647,145690.0,145685.992,145702.658,146282.90000000596,146290.0,2023-09-14T12:29:46.260Z,146302.634,response_natural,n,barn,TUNA,Inc_Synth_Nat,long,incongruent,n,n,True
565,2215,target,canvas.Screen,12_1_0_23_5,response,587.2940000059607,146988.29999999702,146985.94,147002.606,147589.90000000596,147597.10000000894,2023-09-14T12:29:47.567Z,147602.582,response_manmade,m,jeans,JEANS,Con_Synth,long,congruent,m,m,True
572,2215,target,canvas.Screen,12_1_0_24_5,response,501.6460000029765,148289.70000000298,148285.888,148302.554,148804.20000000298,148811.40000000596,2023-09-14T12:29:48.782Z,148819.2,response_manmade,m,crate,CRATE,Con_Synth,long,congruent,m,m,True
579,2215,target,canvas.Screen,12_1_0_25_5,response,612.0280000029888,149505.40000000596,149502.506,149519.172,150131.20000000298,150138.60000000894,2023-09-14T12:29:50.109Z,150152.48,response_manmade,m,flask,FLASK,Con_Synth,long,congruent,m,m,True
586,2215,target,canvas.Screen,12_1_0_26_5,response,563.74800000299,150840.40000000596,150835.786,150852.452,151416.20000000298,151423.70000000298,2023-09-14T12:29:51.394Z,151435.762,response_natural,n,pear,PEAR,Con_Nat,long,congruent,n,n,True
593,2215,target,canvas.Screen,12_1_0_27_5,response,585.300000002986,152140.29999999702,152135.734,152152.4,152737.70000000298,152745.29999999702,2023-09-14T12:29:52.715Z,152752.376,response_natural,n,earth,EARTH,Con_Nat,long,congruent,n,n,True
600,2215,target,canvas.Screen,12_1_0_28_5,response,817.0180000029795,153420.40000000596,153419.016,153435.682,154252.70000000298,154260.20000000298,2023-09-14T12:29:54.230Z,154268.982,response_manmade,m,storm,LAND,Inc_Nat_Nat,long,incongruent,m,m,True
607,2215,target,canvas.Screen,12_1_0_29_5,response,685.0450000089477,154938.40000000596,154935.889,154952.555,155637.60000000894,155644.79999999702,2023-09-14T12:29:55.615Z,155652.527,response_manmade,m,shoe,COUCH,Inc_Synth_Synth,long,incongruent,m,m,True
614,2215,target,canvas.Screen,12_1_0_30_5,response,808.5009999999893,156341.5,156335.833,156352.499,157161.0,157168.20000000298,2023-09-14T12:29:57.138Z,157169.133,response_manmade,m,boar,BOAR,Con_Nat,long,congruent,n,n,False
621,2215,target,canvas.Screen,12_1_0_31_5,response,578.1610000089277,157840.40000000596,157835.773,157852.439,158430.60000000894,158437.70000000298,2023-09-14T12:29:58.408Z,158452.415,response_natural,n,pipe,LION,Inc_Synth_Nat,long,incongruent,n,n,True
628,2215,target,canvas.Screen,12_1_0_32_5,response,504.0130000059726,159140.0,159135.721,159152.387,159656.40000000596,159663.70000000298,2023-09-14T12:29:59.634Z,159669.033,response_natural,n,swan,SWAN,Con_Nat,long,congruent,n,n,True
635,2215,target,canvas.Screen,12_1_0_33_5,response,537.6609999999928,160338.20000000298,160335.673,160352.339,160890.0,160897.40000000596,2023-09-14T12:30:00.867Z,160902.317,response_manmade,m,wire,CABIN,Inc_Synth_Synth,long,incongruent,m,m,True
642,2215,target,canvas.Screen,12_1_0_34_5,response,666.01099999703,161590.60000000894,161585.623,161602.289,162268.29999999702,162275.5,2023-09-14T12:30:02.246Z,162285.595,response_manmade,m,arrow,ARROW,Con_Synth,long,congruent,m,m,True
649,2215,target,canvas.Screen,12_1_0_35_5,response,853.3989999970072,162955.5,162952.235,162968.901,163822.29999999702,163829.20000000298,2023-09-14T12:30:03.799Z,163835.533,response_natural,n,clam,CLAM,Con_Nat,long,congruent,n,n,True
656,2215,target,canvas.Screen,12_1_0_36_5,response,641.8330000089481,164522.90000000596,164519.101,164535.767,165177.60000000894,165184.79999999702,2023-09-14T12:30:05.155Z,165202.407,response_manmade,m,canoe,CANOE,Con_Synth,long,congruent,m,m,True
663,2215,target,canvas.Screen,12_1_0_37_5,response,809.7870000000112,165873.70000000298,165869.047,165885.713,166695.5,166702.79999999702,2023-09-14T12:30:06.673Z,166719.013,response_natural,n,ocean,TREE,Inc_Nat_Nat,long,incongruent,m,m,False
670,2215,target,canvas.Screen,12_1_0_38_5,response,638.3149999970337,167406.90000000596,167402.319,167418.985,168057.29999999702,168064.40000000596,2023-09-14T12:30:08.034Z,168068.959,response_manmade,m,scarf,SCARF,Con_Synth,long,congruent,m,m,True
677,2215,target,canvas.Screen,12_1_0_39_5,response,719.1690000089293,168754.5,168752.265,168768.931,169488.10000000894,169495.10000000894,2023-09-14T12:30:09.465Z,169502.235,response_natural,n,desk,CANDY,Inc_Synth_Synth,long,incongruent,m,m,False
684,2215,target,canvas.Screen,12_1_0_40_5,response,794.7930000000051,170188.5,170185.541,170202.207,170997.0,171004.10000000894,2023-09-14T12:30:10.974Z,171018.841,response_natural,n,stone,STONE,Con_Nat,long,congruent,n,n,True
691,2215,target,canvas.Screen,12_1_0_41_5,response,932.4530000089435,171690.0,171685.481,171702.147,172634.60000000894,172641.70000000298,2023-09-14T12:30:12.612Z,172652.109,response_manmade,m,deck,PLATE,Inc_Synth_Synth,long,incongruent,m,m,True
698,2215,target,canvas.Screen,12_1_0_42_5,response,704.7850000029721,173323.10000000894,173318.749,173335.415,174040.20000000298,174047.20000000298,2023-09-14T12:30:14.017Z,174052.053,response_natural,n,soap,PONY,Inc_Synth_Nat,long,incongruent,n,n,True
705,2215,target,canvas.Screen,12_1_0_43_5,response,534.5099999970116,174739.60000000894,174735.624,174752.29,175286.79999999702,175294.20000000298,2023-09-14T12:30:15.264Z,175302.268,response_natural,n,slug,SLUG,Con_Nat,long,congruent,n,n,True
712,2215,target,canvas.Screen,12_1_0_44_5,response,648.2259999970265,175974.10000000894,175968.908,175985.574,176633.79999999702,176640.90000000596,2023-09-14T12:30:16.611Z,176652.214,response_manmade,m,shell,DIRT,Inc_Nat_Nat,long,incongruent,m,m,True
719,2215,target,canvas.Screen,12_1_0_45_5,response,487.81400000001304,177340.20000000298,177335.52,177352.186,177840.0,177847.10000000894,2023-09-14T12:30:17.817Z,177852.166,response_manmade,m,flute,FLUTE,Con_Synth,long,congruent,m,m,True
726,2215,target,canvas.Screen,12_1_0_46_5,response,687.7620000059542,178540.0,178535.472,178552.138,179239.90000000596,179247.0,2023-09-14T12:30:19.217Z,179252.11,response_manmade,m,moose,PORCH,Inc_Nat_Synth,long,incongruent,m,m,True
733,2215,target,canvas.Screen,12_1_0_47_5,response,727.484000005963,179921.29999999702,179918.75,179935.416,180662.90000000596,180670.29999999702,2023-09-14T12:30:20.640Z,180685.386,response_manmade,m,shark,HILL,Inc_Nat_Nat,long,incongruent,m,m,True
740,2215,target,canvas.Screen,12_1_0_48_5,response,753.2080000059505,181356.5,181352.026,181368.692,182121.90000000596,182128.90000000596,2023-09-14T12:30:22.099Z,182135.328,response_manmade,m,tongs,TONGS,Con_Synth,long,congruent,m,m,True
